offset,address,idle,live1,live2,post,stable_live,stable_nonzero,changed_from_idle,returns_to_idle
0x0000,0x0ace8000,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0004,0x0ace8004,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0008,0x0ace8008,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x000c,0x0ace800c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0010,0x0ace8010,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0014,0x0ace8014,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0018,0x0ace8018,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x001c,0x0ace801c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0020,0x0ace8020,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0024,0x0ace8024,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0028,0x0ace8028,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x002c,0x0ace802c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0030,0x0ace8030,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0034,0x0ace8034,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0038,0x0ace8038,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x003c,0x0ace803c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0040,0x0ace8040,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0044,0x0ace8044,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0048,0x0ace8048,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x004c,0x0ace804c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0050,0x0ace8050,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0054,0x0ace8054,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0058,0x0ace8058,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x005c,0x0ace805c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
