candidate_imports=24
missing_or_crc_mismatch=0
i2c_register_driver 0xaf6e1777 golden=0xaf6e1777
i2c_del_driver 0x1c029c99 golden=0x1c029c99
gpiod_set_value_cansleep 0xf3081ccb golden=0xf3081ccb
usleep_range_state 0xc3055d20 golden=0xc3055d20
clk_disable 0xb6e6d99d golden=0xb6e6d99d
clk_unprepare 0xb077e70a golden=0xb077e70a
regulator_disable 0x423e7275 golden=0x423e7275
__ubsan_handle_load_invalid_value 0x54b1fac6 golden=0x54b1fac6
devm_kmalloc 0x8a1b2822 golden=0x8a1b2822
devm_regulator_get 0xd711fc73 golden=0xd711fc73
devm_clk_get 0x9f9c597f golden=0x9f9c597f
devm_gpiod_get 0x4245debb golden=0x4245debb
regulator_set_voltage 0xc3da5165 golden=0xc3da5165
clk_set_rate 0x76d9b876 golden=0x76d9b876
clk_get_rate 0x556e4390 golden=0x556e4390
dev_err_probe 0x92636803 golden=0x92636803
clk_prepare 0x7c9a7371 golden=0x7c9a7371
clk_enable 0x815588a6 golden=0x815588a6
regulator_enable 0x1991b52f golden=0x1991b52f
i2c_transfer 0x93ca2225 golden=0x93ca2225
_dev_err 0x2fc37935 golden=0x2fc37935
__stack_chk_fail 0xf0fdf6cb golden=0xf0fdf6cb
_dev_info 0xa4665ee0 golden=0xa4665ee0
module_layout 0x3afb0951 golden=0x3afb0951
