candidate_imports=38
missing_or_crc_mismatch=0
__ubsan_handle_out_of_bounds 0x87a21cb3 golden=0x87a21cb3
i2c_register_driver 0xaf6e1777 golden=0xaf6e1777
gpiod_set_value_cansleep 0xf3081ccb golden=0xf3081ccb
clk_set_rate 0x76d9b876 golden=0x76d9b876
clk_prepare 0x7c9a7371 golden=0x7c9a7371
clk_enable 0x815588a6 golden=0x815588a6
regulator_enable 0x1991b52f golden=0x1991b52f
clk_disable 0xb6e6d99d golden=0xb6e6d99d
clk_unprepare 0xb077e70a golden=0xb077e70a
regulator_disable 0x423e7275 golden=0x423e7275
usleep_range_state 0xc3055d20 golden=0xc3055d20
_dev_info 0xa4665ee0 golden=0xa4665ee0
v4l2_async_unregister_subdev 0xb06d2094 golden=0xb06d2094
v4l2_subdev_cleanup 0xeebb8f15 golden=0xeebb8f15
__pm_runtime_disable 0xb790fe47 golden=0xb790fe47
__pm_runtime_set_status 0xe4f1c8c2 golden=0xe4f1c8c2
__v4l2_subdev_state_get_format 0xb653a17f golden=0xb653a17f
devm_kmalloc 0x8a1b2822 golden=0x8a1b2822
v4l2_i2c_subdev_init 0xdf9c3425 golden=0xdf9c3425
devm_cci_regmap_init_i2c 0xa41c47e5 golden=0xa41c47e5
devm_clk_get 0x9f9c597f golden=0x9f9c597f
devm_regulator_get 0xd711fc73 golden=0xd711fc73
devm_gpiod_get 0x4245debb golden=0x4245debb
regulator_set_voltage 0xc3da5165 golden=0xc3da5165
cci_read 0x40ef4f7d golden=0x40ef4f7d
dev_err_probe 0x92636803 golden=0x92636803
media_entity_pads_init 0x60b6217e golden=0x60b6217e
__v4l2_subdev_init_finalize 0x7c83e9b7 golden=0x7c83e9b7
v4l2_async_register_subdev_sensor 0x6595f331 golden=0x6595f331
__stack_chk_fail 0xf0fdf6cb golden=0xf0fdf6cb
pm_runtime_enable 0x0724d9d6 golden=0x0724d9d6
__pm_runtime_idle 0x658c872b golden=0x658c872b
i2c_del_driver 0x1c029c99 golden=0x1c029c99
_dev_warn 0xc5681947 golden=0xc5681947
pm_runtime_force_suspend 0xc40e1254 golden=0xc40e1254
pm_runtime_force_resume 0xf8e182f4 golden=0xf8e182f4
v4l2_subdev_get_fmt 0x337bde95 golden=0x337bde95
module_layout 0x3afb0951 golden=0x3afb0951
