index,file_offset,reg_offset,value,aux
0,0xf650,0x0268,0xf1,0
1,0xf65c,0x0294,0x01,0
2,0xf668,0x0278,0x20,0
3,0xf674,0x0288,0x20,0
4,0xf680,0x026c,0x3d,0
5,0xf68c,0x028c,0x30,0
6,0xf698,0x0270,0x00,0
7,0xf6a4,0x0274,0x03,0
8,0xf6b0,0x0668,0xf1,0
9,0xf6bc,0x0694,0x01,0
10,0xf6c8,0x0678,0x20,0
11,0xf6d4,0x0688,0x20,0
12,0xf6e0,0x066c,0x3d,0
13,0xf6ec,0x068c,0x30,0
14,0xf6f8,0x0670,0x00,0
15,0xf704,0x0674,0x03,0
16,0xf710,0x0a68,0xf1,0
17,0xf71c,0x0a94,0x01,0
18,0xf728,0x0a78,0x20,0
19,0xf734,0x0a88,0x20,0
20,0xf740,0x0a6c,0x3d,0
21,0xf74c,0x0a8c,0x30,0
22,0xf758,0x0a70,0x00,0
23,0xf764,0x0a74,0x03,10000000
24,0xf770,0x0294,0x09,0
25,0xf77c,0x02f4,0x00,0
26,0xf788,0x02f8,0x00,0
27,0xf794,0x02fc,0x00,0
28,0xf7a0,0x02f0,0xef,1000000
29,0xf7ac,0x0694,0x09,0
30,0xf7b8,0x06f4,0x00,0
31,0xf7c4,0x06f8,0x00,0
32,0xf7d0,0x06fc,0x00,0
33,0xf7dc,0x06f0,0xef,0
34,0xf7e8,0x0a94,0x09,0
35,0xf7f4,0x0af4,0x00,0
36,0xf800,0x0af8,0x00,0
37,0xf80c,0x0afc,0x00,0
38,0xf818,0x0af0,0xef,10000000
39,0xf824,0x020c,0x22,0
40,0xf830,0x0208,0x00,0
41,0xf83c,0x0210,0x00,0
42,0xf848,0x0214,0x00,0
43,0xf854,0x0204,0x00,0
44,0xf860,0x02e4,0x00,0
45,0xf86c,0x02e8,0x7f,0
46,0xf878,0x02ec,0x7f,0
47,0xf884,0x0218,0x3e,0
48,0xf890,0x021c,0x41,0
49,0xf89c,0x0220,0x41,0
50,0xf8a8,0x0224,0x7f,0
51,0xf8b4,0x0228,0x00,0
52,0xf8c0,0x022c,0x00,0
53,0xf8cc,0x0264,0x01,0
54,0xf8d8,0x0244,0xb2,0
55,0xf8e4,0x0310,0x35,0
56,0xf8f0,0x02bc,0xd0,0
57,0xf8fc,0x0254,0x00,0
58,0xf908,0x0240,0x00,0
59,0xf914,0x0260,0xa8,0
60,0xf920,0x0284,0x00,0
61,0xf92c,0x0290,0x02,0
62,0xf938,0x060c,0x22,0
63,0xf944,0x0608,0x00,0
64,0xf950,0x0610,0x00,0
65,0xf95c,0x0614,0x00,0
66,0xf968,0x0604,0x00,0
67,0xf974,0x06e4,0x00,0
68,0xf980,0x06e8,0x7f,0
69,0xf98c,0x06ec,0x7f,0
70,0xf998,0x0618,0x3e,0
71,0xf9a4,0x061c,0x41,0
72,0xf9b0,0x0620,0x41,0
73,0xf9bc,0x0624,0x7f,0
74,0xf9c8,0x0628,0x00,0
75,0xf9d4,0x062c,0x00,0
76,0xf9e0,0x0664,0x01,0
77,0xf9ec,0x0644,0xb2,0
78,0xf9f8,0x0710,0x35,0
79,0xfa04,0x06bc,0xd0,0
80,0xfa10,0x0654,0x00,0
81,0xfa1c,0x0640,0x00,0
82,0xfa28,0x0660,0xa8,0
83,0xfa34,0x0684,0x00,0
84,0xfa40,0x0690,0x02,0
85,0xfa4c,0x0a0c,0x22,0
86,0xfa58,0x0a08,0x00,0
87,0xfa64,0x0a10,0x00,0
88,0xfa70,0x0a14,0x00,0
89,0xfa7c,0x0a00,0x00,0
90,0xfa88,0x0a04,0x00,0
91,0xfa94,0x0ae4,0x00,0
92,0xfaa0,0x0ae8,0x7f,0
93,0xfaac,0x0aec,0x7f,0
94,0xfab8,0x0a18,0x3e,0
95,0xfac4,0x0a1c,0x41,0
96,0xfad0,0x0a20,0x41,0
97,0xfadc,0x0a24,0x7f,0
98,0xfae8,0x0a28,0x00,0
99,0xfaf4,0x0a2c,0x00,0
100,0xfb00,0x0a64,0x01,0
101,0xfb0c,0x0a44,0xb2,0
102,0xfb18,0x0b10,0x35,0
103,0xfb24,0x0abc,0xd0,0
104,0xfb30,0x0a54,0x00,0
105,0xfb3c,0x0a40,0x00,0
106,0xfb48,0x0a60,0xa8,0
107,0xfb54,0x0a84,0x00,0
108,0xfb60,0x0a90,0x02,0
109,0xfb6c,0x102c,0xff,0
110,0xfb78,0x1030,0xfe,0
111,0xfb84,0x1034,0xe2,0
112,0xfb90,0x1038,0xdf,0
113,0xfb9c,0x103c,0x5f,0
114,0xfba8,0x1040,0xfc,0
115,0xfbb4,0x1044,0xfb,0
116,0xfbc0,0x1048,0x8b,0
117,0xfbcc,0x104c,0x7f,0
118,0xfbd8,0x1050,0xbf,0
119,0xfbe4,0x1054,0xff,0
120,0xfbf0,0x1000,0x0e,0
