index,address,data,addr_type,data_type,operation,delay_us,slave_override
0,0x0136,0x13,2,1,0,0,
1,0x0137,0x33,2,1,0,0,
2,0x002c,0x05,2,1,0,0,
3,0x002d,0x05,2,1,0,0,
4,0x0111,0x03,2,1,0,0,
5,0x30eb,0x05,2,1,0,0,
6,0x30eb,0x0c,2,1,0,0,
7,0x300a,0xff,2,1,0,0,
8,0x300b,0xff,2,1,0,0,
9,0x3532,0xff,2,1,0,0,
10,0x3533,0xff,2,1,0,0,
11,0x051e,0x00,2,1,0,0,
12,0x0905,0x04,2,1,0,0,
13,0x2029,0x01,2,1,0,0,
14,0x202a,0x11,2,1,0,0,
15,0x20a1,0x00,2,1,0,0,
16,0x20a2,0x02,2,1,0,0,
17,0x20a3,0x03,2,1,0,0,
18,0x20ac,0x01,2,1,0,0,
19,0x20ad,0x01,2,1,0,0,
20,0x20ae,0x01,2,1,0,0,
21,0x20af,0x01,2,1,0,0,
22,0x20b0,0x00,2,1,0,0,
23,0x20b1,0x01,2,1,0,0,
24,0x20b2,0x02,2,1,0,0,
25,0x20b3,0x03,2,1,0,0,
26,0x706f,0x00,2,1,0,0,
27,0x7130,0x08,2,1,0,0,
28,0x7131,0x08,2,1,0,0,
29,0x7408,0x89,2,1,0,0,
30,0x7437,0x3d,2,1,0,0,
31,0x7439,0x29,2,1,0,0,
32,0x7443,0x38,2,1,0,0,
33,0x7447,0x55,2,1,0,0,
34,0x744b,0x00,2,1,0,0,
35,0x7451,0x8e,2,1,0,0,
36,0x746d,0x29,2,1,0,0,
37,0x747d,0x68,2,1,0,0,
38,0x7481,0x60,2,1,0,0,
39,0x7491,0x2d,2,1,0,0,
40,0x7493,0x31,2,1,0,0,
41,0x74a5,0x52,2,1,0,0,
42,0x74af,0x4a,2,1,0,0,
43,0x74b5,0x1f,2,1,0,0,
44,0x74b7,0x31,2,1,0,0,
45,0x74bd,0x75,2,1,0,0,
46,0x74c5,0x06,2,1,0,0,
47,0x74c9,0x52,2,1,0,0,
48,0x74d3,0x4a,2,1,0,0,
49,0x74d9,0x1f,2,1,0,0,
50,0x74db,0x31,2,1,0,0,
51,0x74e1,0x75,2,1,0,0,
52,0x74e9,0x06,2,1,0,0,
53,0x74ed,0x52,2,1,0,0,
54,0x74f7,0x4a,2,1,0,0,
55,0x74fd,0x1f,2,1,0,0,
56,0x74ff,0x31,2,1,0,0,
57,0x7505,0x75,2,1,0,0,
58,0x750d,0x06,2,1,0,0,
59,0x7537,0x38,2,1,0,0,
60,0x753d,0x4a,2,1,0,0,
61,0x753f,0x4a,2,1,0,0,
62,0x7541,0x4a,2,1,0,0,
63,0x7549,0x8e,2,1,0,0,
64,0x754f,0x75,2,1,0,0,
65,0x7551,0x75,2,1,0,0,
66,0x7553,0x75,2,1,0,0,
67,0x792b,0x39,2,1,0,0,
68,0x792d,0x43,2,1,0,0,
69,0x79d3,0x25,2,1,0,0,
70,0x79d6,0x8e,2,1,0,0,
71,0x79d7,0x01,2,1,0,0,
72,0x79d8,0xe7,2,1,0,0,
73,0x79d9,0x25,2,1,0,0,
74,0x79db,0x76,2,1,0,0,
75,0x79dc,0x8e,2,1,0,0,
76,0x79dd,0x01,2,1,0,0,
77,0x79de,0xe7,2,1,0,0,
78,0x79df,0x25,2,1,0,0,
79,0x79e1,0x76,2,1,0,0,
80,0x79e2,0x8e,2,1,0,0,
81,0x79e3,0x01,2,1,0,0,
82,0x79e4,0xe7,2,1,0,0,
83,0x79e5,0x25,2,1,0,0,
84,0x79e7,0x76,2,1,0,0,
85,0x79e8,0x8e,2,1,0,0,
86,0x7a01,0xff,2,1,0,0,
87,0x7a29,0x6c,2,1,0,0,
88,0x7a2b,0xda,2,1,0,0,
89,0x7a34,0x6c,2,1,0,0,
90,0x7a37,0xda,2,1,0,0,
91,0x7a40,0x6c,2,1,0,0,
92,0x7a43,0xda,2,1,0,0,
93,0x7b08,0x00,2,1,0,0,
94,0x7b09,0x01,2,1,0,0,
95,0x7c03,0x38,2,1,0,0,
96,0x7c09,0x4a,2,1,0,0,
97,0x7c0b,0x4a,2,1,0,0,
98,0x7c0d,0x4a,2,1,0,0,
99,0x7c13,0x8e,2,1,0,0,
100,0x7c19,0x75,2,1,0,0,
101,0x7c1b,0x75,2,1,0,0,
102,0x7c1d,0x75,2,1,0,0,
103,0x7c90,0x00,2,1,0,0,
104,0x7c91,0x00,2,1,0,0,
105,0x7c92,0x00,2,1,0,0,
106,0x7c9d,0x01,2,1,0,0,
107,0x7c9e,0x01,2,1,0,0,
108,0x7c9f,0x01,2,1,0,0,
109,0x7e9b,0x07,2,1,0,0,
110,0x7f09,0x00,2,1,0,0,
111,0x7f36,0x00,2,1,0,0,
112,0x7f4f,0x0a,2,1,0,0,
113,0x7f50,0x0a,2,1,0,0,
114,0x7f51,0x0a,2,1,0,0,
115,0x7f55,0x05,2,1,0,0,
116,0x7f56,0x05,2,1,0,0,
117,0x7f57,0x05,2,1,0,0,
118,0x7f5b,0x03,2,1,0,0,
119,0x7f5c,0x03,2,1,0,0,
120,0x7f5d,0x03,2,1,0,0,
121,0x7f61,0x03,2,1,0,0,
122,0x7f62,0x03,2,1,0,0,
123,0x7f63,0x03,2,1,0,0,
124,0x7f67,0x03,2,1,0,0,
125,0x7f68,0x03,2,1,0,0,
126,0x7f69,0x03,2,1,0,0,
127,0x7f6a,0x05,2,1,0,0,
128,0x7f6b,0x05,2,1,0,0,
129,0x7f6c,0x05,2,1,0,0,
130,0x7f6d,0x11,2,1,0,0,
131,0x7f6e,0x14,2,1,0,0,
132,0x7f6f,0x14,2,1,0,0,
133,0x7f73,0x14,2,1,0,0,
134,0x7f74,0x1c,2,1,0,0,
135,0x7f75,0x14,2,1,0,0,
136,0x7f76,0x08,2,1,0,0,
137,0x7f79,0x14,2,1,0,0,
138,0x7f7a,0x1c,2,1,0,0,
139,0x7f7b,0x14,2,1,0,0,
140,0x7f7f,0x1c,2,1,0,0,
141,0x7f80,0x1c,2,1,0,0,
142,0x7f81,0x1c,2,1,0,0,
143,0x7f85,0x1c,2,1,0,0,
144,0x7f86,0x1c,2,1,0,0,
145,0x7f87,0x1c,2,1,0,0,
146,0x7f9d,0x09,2,1,0,0,
147,0x7f9e,0x09,2,1,0,0,
148,0x7f9f,0x09,2,1,0,0,
149,0x7fa3,0x09,2,1,0,0,
150,0x7fa4,0x09,2,1,0,0,
151,0x7fa5,0x09,2,1,0,0,
152,0x7fac,0x00,2,1,0,0,
153,0x7fad,0x00,2,1,0,0,
154,0x7fae,0x00,2,1,0,0,
155,0x7faf,0x00,2,1,0,0,
156,0x7fb0,0x00,2,1,0,0,
157,0x7fb1,0x00,2,1,0,0,
158,0x7fb2,0x00,2,1,0,0,
159,0x7fb3,0x00,2,1,0,0,
160,0x7fb4,0x00,2,1,0,0,
161,0x7fb5,0x00,2,1,0,0,
162,0x7fb6,0x00,2,1,0,0,
163,0x7fb7,0x00,2,1,0,0,
164,0x7fb8,0x00,2,1,0,0,
165,0x7fb9,0x00,2,1,0,0,
166,0x7fba,0x00,2,1,0,0,
167,0x7fbb,0x00,2,1,0,0,
168,0x7fbc,0x00,2,1,0,0,
169,0x7fbd,0x00,2,1,0,0,
170,0x7fbe,0x00,2,1,0,0,
171,0x7fbf,0x00,2,1,0,0,
172,0x7fc0,0x00,2,1,0,0,
173,0x7fc1,0x00,2,1,0,0,
174,0x7fc2,0x00,2,1,0,0,
175,0x7fc3,0x00,2,1,0,0,
176,0x7fcb,0x37,2,1,0,0,
177,0x7fcd,0x37,2,1,0,0,
178,0x7fcf,0x37,2,1,0,0,
179,0x7fd7,0x44,2,1,0,0,
180,0x7fd9,0x44,2,1,0,0,
181,0x7fdb,0x44,2,1,0,0,
182,0x7fdd,0x38,2,1,0,0,
183,0x7fe3,0x4a,2,1,0,0,
184,0x7fe5,0x4a,2,1,0,0,
185,0x7fe7,0x4a,2,1,0,0,
186,0x7fef,0x4a,2,1,0,0,
187,0x7ff1,0x4a,2,1,0,0,
188,0x7ff3,0x4a,2,1,0,0,
189,0x7ffb,0x4a,2,1,0,0,
190,0x7ffd,0x4a,2,1,0,0,
191,0x7fff,0x4a,2,1,0,0,
192,0x8007,0x62,2,1,0,0,
193,0x8009,0x62,2,1,0,0,
194,0x800b,0x62,2,1,0,0,
195,0x8013,0x6f,2,1,0,0,
196,0x8015,0x6f,2,1,0,0,
197,0x8017,0x6f,2,1,0,0,
198,0x8019,0x8e,2,1,0,0,
199,0x801f,0x75,2,1,0,0,
200,0x8021,0x75,2,1,0,0,
201,0x8023,0x75,2,1,0,0,
202,0x802b,0x75,2,1,0,0,
203,0x802d,0x75,2,1,0,0,
204,0x802f,0x75,2,1,0,0,
205,0x8037,0x75,2,1,0,0,
206,0x8039,0x75,2,1,0,0,
207,0x803b,0x75,2,1,0,0,
208,0x803c,0x13,2,1,0,0,
209,0x803d,0x17,2,1,0,0,
210,0x803e,0x15,2,1,0,0,
211,0x803f,0x11,2,1,0,0,
212,0x8040,0x0a,2,1,0,0,
213,0x8041,0x08,2,1,0,0,
214,0x8047,0x17,2,1,0,0,
215,0x80f0,0x24,2,1,0,0,
216,0x80f1,0x1b,2,1,0,0,
217,0x80f2,0x1a,2,1,0,0,
218,0x80f3,0x14,2,1,0,0,
219,0x80f4,0x14,2,1,0,0,
220,0x80f5,0x12,2,1,0,0,
221,0x80f6,0x25,2,1,0,0,
222,0x80f7,0x1c,2,1,0,0,
223,0x80f8,0x1b,2,1,0,0,
224,0x80f9,0x18,2,1,0,0,
225,0x80fa,0x17,2,1,0,0,
226,0x80fb,0x18,2,1,0,0,
227,0x80fc,0x26,2,1,0,0,
228,0x80fd,0x1e,2,1,0,0,
229,0x80fe,0x1d,2,1,0,0,
230,0x80ff,0x1c,2,1,0,0,
231,0x8100,0x1b,2,1,0,0,
232,0x8101,0x1c,2,1,0,0,
233,0x8102,0x27,2,1,0,0,
234,0x8103,0x1e,2,1,0,0,
235,0x8104,0x1d,2,1,0,0,
236,0x8105,0x1e,2,1,0,0,
237,0x8106,0x1e,2,1,0,0,
238,0x8107,0x1e,2,1,0,0,
239,0x8108,0x27,2,1,0,0,
240,0x8109,0x1e,2,1,0,0,
241,0x810a,0x1e,2,1,0,0,
242,0x810b,0x1e,2,1,0,0,
243,0x810c,0x1e,2,1,0,0,
244,0x810d,0x1f,2,1,0,0,
245,0x810e,0x00,2,1,0,0,
246,0x8168,0x0b,2,1,0,0,
247,0x8169,0x0b,2,1,0,0,
248,0x816a,0x09,2,1,0,0,
249,0x816b,0x0f,2,1,0,0,
250,0x816c,0x0f,2,1,0,0,
251,0x816d,0x0f,2,1,0,0,
252,0x816e,0x0b,2,1,0,0,
253,0x816f,0x0b,2,1,0,0,
254,0x8170,0x0a,2,1,0,0,
