index,address,data,addr_type,data_type,operation,delay_us,slave_override
0,0x0110,0x00,2,1,0,0,
1,0x0112,0x0a,2,1,0,0,
2,0x0113,0x0a,2,1,0,0,
3,0x0114,0x00,2,1,0,0,
4,0x0342,0x1a,2,1,0,0,
5,0x0343,0x60,2,1,0,0,
6,0x033d,0x00,2,1,0,0,
7,0x033e,0x0d,2,1,0,0,
8,0x033f,0xe2,2,1,0,0,
9,0x0344,0x00,2,1,0,0,
10,0x0345,0x68,2,1,0,0,
11,0x0346,0x01,2,1,0,0,
12,0x0347,0x00,2,1,0,0,
13,0x0348,0x0f,2,1,0,0,
14,0x0349,0x67,2,1,0,0,
15,0x034a,0x0b,2,1,0,0,
16,0x034b,0x4f,2,1,0,0,
17,0x017c,0x01,2,1,0,0,
18,0x017d,0x01,2,1,0,0,
19,0x017e,0x00,2,1,0,0,
20,0x017f,0x01,2,1,0,0,
21,0x0180,0x00,2,1,0,0,
22,0x038c,0x13,2,1,0,0,
23,0x038d,0x33,2,1,0,0,
24,0x2000,0x01,2,1,0,0,
25,0x0408,0x00,2,1,0,0,
26,0x0409,0x00,2,1,0,0,
27,0x040a,0x00,2,1,0,0,
28,0x040b,0x00,2,1,0,0,
29,0x040c,0x0f,2,1,0,0,
30,0x040d,0x00,2,1,0,0,
31,0x040e,0x0a,2,1,0,0,
32,0x040f,0x50,2,1,0,0,
33,0x034c,0x0f,2,1,0,0,
34,0x034d,0x00,2,1,0,0,
35,0x034e,0x0a,2,1,0,0,
36,0x034f,0x50,2,1,0,0,
37,0x0301,0x06,2,1,0,0,
38,0x0303,0x02,2,1,0,0,
39,0x0305,0x02,2,1,0,0,
40,0x0306,0x00,2,1,0,0,
41,0x0307,0xe1,2,1,0,0,
42,0x030d,0x03,2,1,0,0,
43,0x030e,0x01,2,1,0,0,
44,0x030f,0x77,2,1,0,0,
45,0x0323,0x00,2,1,0,0,
46,0x0229,0x00,2,1,0,0,
47,0x022a,0x0d,2,1,0,0,
48,0x022b,0xda,2,1,0,0,
49,0xd383,0x01,2,1,0,0,
50,0x0204,0x00,2,1,0,0,
51,0x0205,0x00,2,1,0,0,
52,0x020e,0x01,2,1,0,0,
53,0x020f,0x00,2,1,0,0,
54,0x0210,0x01,2,1,0,0,
55,0x0211,0x00,2,1,0,0,
56,0x0212,0x01,2,1,0,0,
57,0x0213,0x00,2,1,0,0,
58,0x0214,0x01,2,1,0,0,
59,0x0215,0x00,2,1,0,0,
60,0x6a83,0x03,2,1,0,0,
61,0x7e9b,0x02,2,1,0,0,
62,0xd1ce,0x00,2,1,0,0,
63,0xdc3c,0x01,2,1,0,0,
64,0x0368,0x00,2,1,0,0,
65,0x036a,0x08,2,1,0,0,
66,0x036b,0x70,2,1,0,0,
67,0x2001,0x00,2,1,0,0,
