offset,address,live1,live2,stable
0x0000,0x0acb9000,0x30000000,0x30000000,1
0x007c,0x0acb907c,0x00002010,0x00002010,1
0x0080,0x0acb9080,0x00000001,0x00000001,1
0x0084,0x0acb9084,0x00002000,0x00002000,1
0x008c,0x0acb908c,0x00000271,0x00000271,1
0x0090,0x0acb9090,0x0001ffff,0x0001ffff,1
0x0094,0x0acb9094,0x00000201,0x00000201,1
0x009c,0x0acb909c,0x00000017,0x00000017,1
0x00a0,0x0acb90a0,0x019fb800,0x019fb800,1
0x00ac,0x0acb90ac,0x00e11ff8,0x00e11ff8,1
0x00b0,0x0acb90b0,0x3cbc601c,0x3cbc601c,1
0x0200,0x0acb9200,0x11300000,0x11300000,1
0x0204,0x0acb9204,0x00000001,0x00000001,1
0x0240,0x0acb9240,0x000d4628,0x0011889c,0
0x024c,0x0acb924c,0x08100990,0x08100990,1
0x0250,0x0acb9250,0x0a510bd0,0x0a510bd0,1
0x0254,0x0acb9254,0x00010180,0x00010180,1
0x0258,0x0acb9258,0x024003c0,0x024003c0,1
0x025c,0x0acb925c,0x18181998,0x18181998,1
0x0260,0x0acb9260,0x1a591bd8,0x1a591bd8,1
0x0264,0x0acb9264,0x10081188,0x10081188,1
0x0268,0x0acb9268,0x124813c8,0x124813c8,1
0x0300,0x0acb9300,0x802b2000,0x802b2000,1
0x0304,0x0acb9304,0x00000001,0x00000001,1
0x0310,0x0acb9310,0x00007241,0x00007241,1
0x0328,0x0acb9328,0xffff0000,0xffff0000,1
0x032c,0x0acb932c,0xffff0000,0xffff0000,1
0x0334,0x0acb9334,0x00130013,0x00130013,1
0x0338,0x0acb9338,0xffffffff,0xffffffff,1
0x033c,0x0acb933c,0xffffffff,0xffffffff,1
0x0340,0x0acb9340,0x48000a08,0x48000a08,1
0x0344,0x0acb9344,0x08700f00,0x08700f00,1
0x035c,0x0acb935c,0x0eff0000,0x0eff0000,1
0x0360,0x0acb9360,0x086f0000,0x086f0000,1
0x0368,0x0acb9368,0x00000001,0x00000001,1
0x0370,0x0acb9370,0x00000001,0x00000001,1
0x0378,0x0acb9378,0x00000001,0x00000001,1
0x037c,0x0acb937c,0x00000001,0x00000001,1
0x0384,0x0acb9384,0x0000001f,0x0000001f,1
0x0388,0x0acb9388,0x08700f00,0x08700f00,1
0x038c,0x0acb938c,0x08700f00,0x08700f00,1
0x0390,0x0acb9390,0x03b203ad,0x03b203ad,1
0x0394,0x0acb9394,0x00ffffff,0x00b5f82c,0
0x0398,0x0acb9398,0x5a2021b9,0xe310a198,0
