offset,address,live1,live2,stable
0x020c,0x0ace820c,0x00000022,0x00000022,1
0x0218,0x0ace8218,0x0000003e,0x0000003e,1
0x021c,0x0ace821c,0x00000041,0x00000041,1
0x0220,0x0ace8220,0x00000041,0x00000041,1
0x0224,0x0ace8224,0x0000007f,0x0000007f,1
0x0244,0x0ace8244,0x000000b2,0x000000b2,1
0x0260,0x0ace8260,0x000000a8,0x000000a8,1
0x0264,0x0ace8264,0x00000001,0x00000001,1
0x0268,0x0ace8268,0x000000f1,0x000000f1,1
0x026c,0x0ace826c,0x0000003d,0x0000003d,1
0x0274,0x0ace8274,0x00000003,0x00000003,1
0x0278,0x0ace8278,0x00000020,0x00000020,1
0x0288,0x0ace8288,0x00000020,0x00000020,1
0x028c,0x0ace828c,0x00000030,0x00000030,1
0x0290,0x0ace8290,0x00000002,0x00000002,1
0x0294,0x0ace8294,0x00000009,0x00000009,1
0x02bc,0x0ace82bc,0x000000d0,0x000000d0,1
0x02e8,0x0ace82e8,0x0000007f,0x0000007f,1
0x02ec,0x0ace82ec,0x0000007f,0x0000007f,1
0x02f0,0x0ace82f0,0x000000ef,0x000000ef,1
0x0310,0x0ace8310,0x00000035,0x00000035,1
0x0340,0x0ace8340,0x00000006,0x00000006,1
0x0358,0x0ace8358,0x0000000c,0x0000000c,1
0x0364,0x0ace8364,0x000000ff,0x000000ff,1
0x0378,0x0ace8378,0x0000006b,0x0000006b,1
0x037c,0x0ace837c,0x00000065,0x00000066,0
0x0380,0x0ace8380,0x00000038,0x00000037,0
0x038c,0x0ace838c,0x00000003,0x00000003,1
0x03a0,0x0ace83a0,0x00000038,0x00000037,0
0x03ac,0x0ace83ac,0x00000003,0x00000003,1
0x03c0,0x0ace83c0,0x00000038,0x00000037,0
0x03cc,0x0ace83cc,0x00000003,0x00000003,1
0x03e0,0x0ace83e0,0x00000038,0x00000037,0
0x03ec,0x0ace83ec,0x00000003,0x00000003,1
0x060c,0x0ace860c,0x00000022,0x00000022,1
0x0618,0x0ace8618,0x0000003e,0x0000003e,1
0x061c,0x0ace861c,0x00000041,0x00000041,1
0x0620,0x0ace8620,0x00000041,0x00000041,1
0x0624,0x0ace8624,0x0000007f,0x0000007f,1
0x0644,0x0ace8644,0x000000b2,0x000000b2,1
0x0660,0x0ace8660,0x000000a8,0x000000a8,1
0x0664,0x0ace8664,0x00000001,0x00000001,1
0x0668,0x0ace8668,0x000000f1,0x000000f1,1
0x066c,0x0ace866c,0x0000003d,0x0000003d,1
0x0674,0x0ace8674,0x00000003,0x00000003,1
0x0678,0x0ace8678,0x00000020,0x00000020,1
0x0688,0x0ace8688,0x00000020,0x00000020,1
0x068c,0x0ace868c,0x00000030,0x00000030,1
0x0690,0x0ace8690,0x00000002,0x00000002,1
0x0694,0x0ace8694,0x00000009,0x00000009,1
0x06bc,0x0ace86bc,0x000000d0,0x000000d0,1
0x06e8,0x0ace86e8,0x0000007f,0x0000007f,1
0x06ec,0x0ace86ec,0x0000007f,0x0000007f,1
0x06f0,0x0ace86f0,0x000000ef,0x000000ef,1
0x0710,0x0ace8710,0x00000035,0x00000035,1
0x0778,0x0ace8778,0x0000007e,0x0000007e,1
0x077c,0x0ace877c,0x0000007e,0x0000007e,1
0x0780,0x0ace8780,0x0000007e,0x0000007e,1
0x07a0,0x0ace87a0,0x0000007e,0x0000007e,1
0x07c0,0x0ace87c0,0x0000007e,0x0000007e,1
0x07e0,0x0ace87e0,0x0000007e,0x0000007e,1
0x0a0c,0x0ace8a0c,0x00000022,0x00000022,1
0x0a18,0x0ace8a18,0x0000003e,0x0000003e,1
0x0a1c,0x0ace8a1c,0x00000041,0x00000041,1
0x0a20,0x0ace8a20,0x00000041,0x00000041,1
0x0a24,0x0ace8a24,0x0000007f,0x0000007f,1
0x0a44,0x0ace8a44,0x000000b2,0x000000b2,1
0x0a60,0x0ace8a60,0x000000a8,0x000000a8,1
0x0a64,0x0ace8a64,0x00000001,0x00000001,1
0x0a68,0x0ace8a68,0x000000f1,0x000000f1,1
0x0a6c,0x0ace8a6c,0x0000003d,0x0000003d,1
0x0a74,0x0ace8a74,0x00000003,0x00000003,1
0x0a78,0x0ace8a78,0x00000020,0x00000020,1
0x0a88,0x0ace8a88,0x00000020,0x00000020,1
0x0a8c,0x0ace8a8c,0x00000030,0x00000030,1
0x0a90,0x0ace8a90,0x00000002,0x00000002,1
0x0a94,0x0ace8a94,0x00000009,0x00000009,1
0x0abc,0x0ace8abc,0x000000d0,0x000000d0,1
0x0ae8,0x0ace8ae8,0x0000007f,0x0000007f,1
0x0aec,0x0ace8aec,0x0000007f,0x0000007f,1
0x0af0,0x0ace8af0,0x000000ef,0x000000ef,1
0x0b10,0x0ace8b10,0x00000035,0x00000035,1
0x0b78,0x0ace8b78,0x0000007e,0x0000007e,1
0x0b7c,0x0ace8b7c,0x0000007e,0x0000007e,1
