offset,address,live1,live2,stable
0x0000,0x0ac71000,0x30000002,0x30000002,1
0x0004,0x0ac71004,0x7c80011a,0x7c80011a,1
0x0008,0x0ac71008,0x00003fe6,0x00003fe6,1
0x000c,0x0ac7100c,0x00000fff,0x00000fff,1
0x0010,0x0ac71010,0x0000007f,0x0000007f,1
0x0014,0x0ac71014,0x0000007f,0x0000007f,1
0x0024,0x0ac71024,0x00006000,0x00006000,1
0x0028,0x0ac71028,0x00000010,0x00000010,1
0x0034,0x0ac71034,0x0007f051,0x0007f051,1
0x0048,0x0ac71048,0x00030003,0x00030003,1
0x0050,0x0ac71050,0x00400000,0x00400000,1
0x0068,0x0ac71068,0x000aaaa0,0x000aaaa0,1
0x0070,0x0ac71070,0x0f150f0f,0x0f150f0f,1
0x0074,0x0ac71074,0x0f0f1503,0x0f0f1503,1
0x0078,0x0ac71078,0x00000f07,0x00000f07,1
0x0080,0x0ac71080,0x000aaaa0,0x000aaaa0,1
0x0084,0x0ac71084,0x00012491,0x00012491,1
0x0088,0x0ac71088,0x00040001,0x00040001,1
0x0090,0x0ac71090,0x00000001,0x00000001,1
0x0094,0x0ac71094,0x00000001,0x00000001,1
0x0098,0x0ac71098,0x00000001,0x00000001,1
0x0400,0x0ac71400,0x20010000,0x20010000,1
0x0c00,0x0ac71c00,0x20020000,0x20020000,1
0x0c18,0x0ac71c18,0xd0000000,0xd0000000,1
0x0c58,0x0ac71c58,0x00001046,0x00001046,1
0x0e00,0x0ac71e00,0x00000011,0x00000011,1
0x0e04,0x0ac71e04,0x1242e000,0x150b6000,0
0x0e08,0x0ac71e08,0x004f2000,0x004f2000,1
0x0e0c,0x0ac71e0c,0x05a00a00,0x05a00a00,1
0x0e14,0x0ac71e14,0x00000e00,0x00000e00,1
0x0e18,0x0ac71e18,0x0000000b,0x0000000b,1
0x0e1c,0x0ac71e1c,0x0000000b,0x0000000b,1
0x0e34,0x0ac71e34,0x00000001,0x00000001,1
0x0e3c,0x0ac71e3c,0x00000001,0x00000001,1
0x0e40,0x0ac71e40,0x12428000,0x150b0000,0
0x0e44,0x0ac71e44,0x00000400,0x00000400,1
0x0e48,0x0ac71e48,0x00000023,0x00000023,1
0x0e50,0x0ac71e50,0x00000001,0x00000001,1
0x0e54,0x0ac71e54,0x06210022,0x06210022,1
0x0e58,0x0ac71e58,0x0000040a,0x0000040a,1
0x0e70,0x0ac71e70,0x1242e000,0x150b6000,0
0x0e7c,0x0ac71e7c,0x1242e000,0x150b6000,0
0x0f00,0x0ac71f00,0x00000011,0x00000011,1
0x0f04,0x0ac71f04,0x1291d000,0x155a5000,0
0x0f08,0x0ac71f08,0x00279000,0x00279000,1
0x0f0c,0x0ac71f0c,0x02d00a00,0x02d00a00,1
0x0f14,0x0ac71f14,0x00000e00,0x00000e00,1
0x0f18,0x0ac71f18,0x0000000b,0x0000000b,1
0x0f1c,0x0ac71f1c,0x0000000b,0x0000000b,1
0x0f34,0x0ac71f34,0x00000001,0x00000001,1
0x0f3c,0x0ac71f3c,0x00000001,0x00000001,1
0x0f40,0x0ac71f40,0x1291a000,0x155a2000,0
0x0f44,0x0ac71f44,0x00000400,0x00000400,1
0x0f48,0x0ac71f48,0x00000033,0x00000033,1
0x0f50,0x0ac71f50,0x00000001,0x00000001,1
0x0f54,0x0ac71f54,0x06210022,0x06210022,1
0x0f58,0x0ac71f58,0x0000040a,0x0000040a,1
0x0f70,0x0ac71f70,0x1291d000,0x155a5000,0
0x0f7c,0x0ac71f7c,0x1291d000,0x155a5000,0
0x1000,0x0ac72000,0x00000011,0x00000011,1
0x1004,0x0ac72004,0x159a8000,0x15cc0000,0
0x1008,0x0ac72008,0x00084000,0x00084000,1
0x100c,0x0ac7200c,0x00b40140,0x00b40140,1
0x1014,0x0ac72014,0x00000b00,0x00000b00,1
0x1018,0x0ac72018,0x0000000a,0x0000000a,1
0x1034,0x0ac72034,0x00000001,0x00000001,1
0x103c,0x0ac7203c,0x00000001,0x00000001,1
0x1070,0x0ac72070,0x159a8000,0x15cc0000,0
0x107c,0x0ac7207c,0x159a8000,0x15cc0000,0
0x1100,0x0ac72100,0x00000011,0x00000011,1
0x1104,0x0ac72104,0x15d68000,0x15db0000,0
0x1108,0x0ac72108,0x0000c000,0x0000c000,1
0x110c,0x0ac7210c,0x002d0050,0x002d0050,1
0x1114,0x0ac72114,0x00000300,0x00000300,1
0x1118,0x0ac72118,0x0000000a,0x0000000a,1
0x1134,0x0ac72134,0x00000001,0x00000001,1
0x113c,0x0ac7213c,0x00000001,0x00000001,1
0x1170,0x0ac72170,0x15d68000,0x15db0000,0
0x117c,0x0ac7217c,0x15d68000,0x15db0000,0
0x1200,0x0ac72200,0x00000010,0x00000010,1
0x1234,0x0ac72234,0xffffffff,0xffffffff,1
0x123c,0x0ac7223c,0xffffffff,0xffffffff,1
0x1250,0x0ac72250,0x00000001,0x00000001,1
0x1254,0x0ac72254,0x06210022,0x06210022,1
0x1258,0x0ac72258,0x0000040a,0x0000040a,1
0x1300,0x0ac72300,0x00000010,0x00000010,1
0x1334,0x0ac72334,0xffffffff,0xffffffff,1
0x133c,0x0ac7233c,0xffffffff,0xffffffff,1
0x1350,0x0ac72350,0x00000001,0x00000001,1
0x1354,0x0ac72354,0x06210022,0x06210022,1
0x1358,0x0ac72358,0x0000040a,0x0000040a,1
0x1400,0x0ac72400,0x00000010,0x00000010,1
0x1434,0x0ac72434,0xffffffff,0xffffffff,1
0x143c,0x0ac7243c,0xffffffff,0xffffffff,1
0x1500,0x0ac72500,0x00000010,0x00000010,1
0x1534,0x0ac72534,0xffffffff,0xffffffff,1
0x153c,0x0ac7253c,0xffffffff,0xffffffff,1
0x1600,0x0ac72600,0x00000010,0x00000010,1
0x1634,0x0ac72634,0xffffffff,0xffffffff,1
