packet,dmi_index,stream_offset,command,dmi_register_offset,dmi_sel,length_field,payload_bytes,dst_offset,src_offset,data_iova,payload_sha256
0,0,0xdc,DMI,0x3d08,1,511,512,0xe0,0x0,0x17af8000,076a27c79e5ace2a3d47f9dd2e83e4ff6ea8872b3c2218f66c92b89b55f36560
0,1,0x14c,DMI,0x4308,1,883,884,0x150,0x400,0x17af8400,6447e93bf908c694541ea71ba99613e6618696ffbbe3e3d41b5660e65ed7d1d8
0,2,0x158,DMI,0x4308,2,883,884,0x15c,0x774,0x17af8774,d61327d1fde5a597ac5ea9d70fe9e1e0ab24831482c2172cb1b7b3d0ae3908e5
0,3,0x164,DMI,0x4308,3,883,884,0x168,0xae8,0x17af8ae8,6ca83adefc47fc9ab71637c150b95b33083e61e507dff2ee5f2692aa27e1453e
0,4,0x1d8,DMI,0x4708,1,511,512,0x1dc,0x62e,0x17af862e,2f5dcd1256b95729a2c7ed1fef920c707b03ff17f65b268d19eea8b345392881
0,5,0x274,DMI,0x4908,1,255,256,0x278,0x1ab8,0x17af9ab8,c48a9ca4c0431ee4d98b78f9c59858a53adacd5604c88bd0c7f591ff2858e6ed
0,6,0x2f8,DMI,0x5408,1,67,68,0x2fc,0xcef,0x17af8cef,1751ac12e70e15b4f76c16775cd329ae55973b612521dab2de828a5cdb6c8ab3
0,7,0x304,DMI,0x5408,2,67,68,0x308,0xd33,0x17af8d33,1751ac12e70e15b4f76c16775cd329ae55973b612521dab2de828a5cdb6c8ab3
0,8,0x794,DMI,0x5a08,1,2047,2048,0x798,0x34cc,0x17afb4cc,b71d4b3eadec95941586227f171e771ae5dc1c70fd48fa5ebf599dcf8fd77d81
0,9,0x7b4,DMI,0x5f08,1,1023,1024,0x7b8,0x3ccc,0x17afbccc,5a0237322ad86a63afa00152f43d049ba9db6494753a20fbf35149a51e978f2b
0,10,0x7c0,DMI,0x5f08,2,1023,1024,0x7c4,0x40cc,0x17afc0cc,5a0237322ad86a63afa00152f43d049ba9db6494753a20fbf35149a51e978f2b
0,11,0x7cc,DMI,0x5f08,3,1023,1024,0x7d0,0x44cc,0x17afc4cc,5a0237322ad86a63afa00152f43d049ba9db6494753a20fbf35149a51e978f2b
0,12,0xab8,DMI,0xa008,1,767,768,0xabc,0x4acc,0x17afcacc,2c67e29e973aaaa45ac5aa18b64dbd08745be2096ffbc0d618dfff0adadffd2b
0,13,0xac4,DMI,0xa008,2,767,768,0xac8,0x4dcc,0x17afcdcc,2c67e29e973aaaa45ac5aa18b64dbd08745be2096ffbc0d618dfff0adadffd2b
0,14,0xad0,DMI,0xa208,1,383,384,0xad4,0x50cc,0x17afd0cc,8c9b8daa8246b2cdcf7b999509c388b4fc95555f37ce9c8eff04995f172ea9af
0,15,0xadc,DMI,0xa208,2,383,384,0xae0,0x524c,0x17afd24c,8c9b8daa8246b2cdcf7b999509c388b4fc95555f37ce9c8eff04995f172ea9af
0,16,0xd24,DMI,0xb208,1,4095,4096,0xd28,0x5ccc,0x17afdccc,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7
0,17,0xd30,DMI,0xb208,2,79,80,0xd34,0x6ccc,0x17afeccc,5b6fb58e61fa475939767d68a446f97f1bff02c0e5935a3ea8bb51e6515783d8
1,0,0xdc,DMI,0x3d08,1,511,512,0xa0e0,0x8000,0x17b00000,076a27c79e5ace2a3d47f9dd2e83e4ff6ea8872b3c2218f66c92b89b55f36560
1,1,0x138,DMI,0x4308,1,883,884,0xa13c,0x8400,0x17b00400,96a65dc04c64a3f483010e100a0f9069fc0a08368c12d1d94eabe44149db39d5
1,2,0x144,DMI,0x4308,2,883,884,0xa148,0x8774,0x17b00774,6b40f8ca05febaa4967a85161c4488adeaa68526af3db023cf82b329732f43bd
1,3,0x150,DMI,0x4308,3,883,884,0xa154,0x8ae8,0x17b00ae8,6ca83adefc47fc9ab71637c150b95b33083e61e507dff2ee5f2692aa27e1453e
1,4,0x1c4,DMI,0x4708,1,511,512,0xa1c8,0x862e,0x17b0062e,c19141e4374c3e85cbe58105f1689f930ae240ad6aebb6c57f42b764c06406c3
1,5,0x260,DMI,0x4908,1,255,256,0xa264,0x9ab8,0x17b01ab8,c48a9ca4c0431ee4d98b78f9c59858a53adacd5604c88bd0c7f591ff2858e6ed
1,6,0x2cc,DMI,0x5408,1,67,68,0xa2d0,0x8cef,0x17b00cef,1751ac12e70e15b4f76c16775cd329ae55973b612521dab2de828a5cdb6c8ab3
1,7,0x2d8,DMI,0x5408,2,67,68,0xa2dc,0x8d33,0x17b00d33,1751ac12e70e15b4f76c16775cd329ae55973b612521dab2de828a5cdb6c8ab3
1,8,0x768,DMI,0x5a08,1,2047,2048,0xa76c,0xb4cc,0x17b034cc,b71d4b3eadec95941586227f171e771ae5dc1c70fd48fa5ebf599dcf8fd77d81
1,9,0x788,DMI,0x5f08,1,1023,1024,0xa78c,0xbccc,0x17b03ccc,5a0237322ad86a63afa00152f43d049ba9db6494753a20fbf35149a51e978f2b
1,10,0x794,DMI,0x5f08,2,1023,1024,0xa798,0xc0cc,0x17b040cc,5a0237322ad86a63afa00152f43d049ba9db6494753a20fbf35149a51e978f2b
