stream_offset,command,register_offset,absolute_address,value,outside_linux_0x4000_mapping
0x0000,REG_CONT,0x003b60,0x0ac74b60,0x00100001,0
0x000c,REG_CONT,0x003b68,0x0ac74b68,0x000000c9,0
0x000c,REG_CONT,0x003b6c,0x0ac74b6c,0x000000ac,0
0x000c,REG_CONT,0x003b70,0x0ac74b70,0x04270427,0
0x000c,REG_CONT,0x003b74,0x0ac74b74,0x04280427,0
0x000c,REG_CONT,0x003b78,0x0ac74b78,0x0fa40000,0
0x000c,REG_CONT,0x003b7c,0x0ac74b7c,0x0fa00000,0
0x000c,REG_CONT,0x003b80,0x0ac74b80,0x0fb00000,0
0x000c,REG_CONT,0x003b84,0x0ac74b84,0x0fc80000,0
0x000c,REG_CONT,0x003b88,0x0ac74b88,0x06600000,0
0x000c,REG_CONT,0x003b8c,0x0ac74b8c,0x06600000,0
0x000c,REG_CONT,0x003b90,0x0ac74b90,0x06600000,0
0x000c,REG_CONT,0x003b94,0x0ac74b94,0x06600000,0
0x0044,REG_CONT,0x005a58,0x0ac76a58,0x00000001,1
0x0044,REG_CONT,0x005a5c,0x0ac76a5c,0x00000001,1
0x0044,REG_CONT,0x005a60,0x0ac76a60,0x00000001,1
0x0044,REG_CONT,0x005a64,0x0ac76a64,0x00000010,1
0x0044,REG_CONT,0x005a68,0x0ac76a68,0x00000020,1
0x0044,REG_CONT,0x005a6c,0x0ac76a6c,0x00000010,1
0x0044,REG_CONT,0x005a70,0x0ac76a70,0x00000000,1
0x0044,REG_CONT,0x005a74,0x0ac76a74,0x00000000,1
0x0044,REG_CONT,0x005a78,0x0ac76a78,0x00000001,1
0x0044,REG_CONT,0x005a7c,0x0ac76a7c,0x00000001,1
0x0044,REG_CONT,0x005a80,0x0ac76a80,0x00000001,1
0x0044,REG_CONT,0x005a84,0x0ac76a84,0x00000002,1
0x0044,REG_CONT,0x005a88,0x0ac76a88,0x00000003,1
0x0044,REG_CONT,0x005a8c,0x0ac76a8c,0x00000004,1
