register_offset,absolute_address,public_name,ownership_class,basis,write_count,packet_coverage,distinct_value_count,distinct_values,within_packet_value_change,independent_windows_live_volatile,dmi_associated_control,dmi_associated_phase_variant
0x0024,0x0ac71024,core_cfg_0,known_top_static_config_candidate,pinned Qualcomm VFE680 name=core_cfg_0; values from Windows,4,"0,1,2,3",1,0x00006000,0,0,0,0
0x002c,0x0ac7102c,core_cfg_2,known_top_static_config_candidate,pinned Qualcomm VFE680 name=core_cfg_2; values from Windows,4,"0,1,2,3",1,0x00000000,0,0,0,0
0x008c,0x0ac7108c,period_cfg,known_top_phase_variant,pinned Qualcomm VFE680 name=period_cfg; values from Windows,4,"0,1,2,3",2,0x0a503000;0xe5cdfd40,0,0,0,0
0x0090,0x0ac71090,irq_sub_pattern_cfg,known_top_static_config_candidate,pinned Qualcomm VFE680 name=irq_sub_pattern_cfg; values from Windows,4,"0,1,2,3",1,0x00000001,0,0,0,0
0x3b60,0x0ac74b60,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,4,"0,1,2,3",1,0x00100001,0,0,0,0
0x3b68,0x0ac74b68,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,4,"0,1,2,3",1,0x000000c9,0,0,0,0
0x3b6c,0x0ac74b6c,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,4,"0,1,2,3",1,0x000000ac,0,0,0,0
0x3b70,0x0ac74b70,,runtime_volatile_do_not_freeze,independent E003g same-machine Windows live1/live2 mismatch,4,"0,1,2,3",2,0x04260427;0x04270427,0,1,0,0
0x3b74,0x0ac74b74,,unpublished_iq_phase_variant,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,4,"0,1,2,3",2,0x04270426;0x04280427,0,0,0,0
0x3b78,0x0ac74b78,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,4,"0,1,2,3",1,0x0fa40000,0,0,0,0
0x3b7c,0x0ac74b7c,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,4,"0,1,2,3",1,0x0fa00000,0,0,0,0
0x3b80,0x0ac74b80,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,4,"0,1,2,3",1,0x0fb00000,0,0,0,0
0x3b84,0x0ac74b84,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,4,"0,1,2,3",1,0x0fc80000,0,0,0,0
0x3b88,0x0ac74b88,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,4,"0,1,2,3",1,0x06600000,0,0,0,0
0x3b8c,0x0ac74b8c,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,4,"0,1,2,3",1,0x06600000,0,0,0,0
0x3b90,0x0ac74b90,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,4,"0,1,2,3",1,0x06600000,0,0,0,0
0x3b94,0x0ac74b94,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,4,"0,1,2,3",1,0x06600000,0,0,0,0
0x3d58,0x0ac74d58,,dmi_associated_phase_variant_control,"exactly DMI register +0x50/+0x54, 0/1-valued per startup packet; semantics intentionally unresolved",3,"0,1,2",2,0x00000000;0x00000001,0,0,1,1
0x3d5c,0x0ac74d5c,,dmi_associated_phase_variant_control,"exactly DMI register +0x50/+0x54, 0/1-valued per startup packet; semantics intentionally unresolved",3,"0,1,2",2,0x00000000;0x00000001,0,0,1,1
0x3d60,0x0ac74d60,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00000203,0,0,0,0
0x3d68,0x0ac74d68,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x06600000,0,0,0,0
0x3d70,0x0ac74d70,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00006020,0,0,0,0
0x3d78,0x0ac74d78,,runtime_volatile_do_not_freeze,independent E003g same-machine Windows live1/live2 mismatch,3,"0,1,2",2,0x00001c37;0x000020b1,0,1,0,0
0x3d7c,0x0ac74d7c,,runtime_volatile_do_not_freeze,independent E003g same-machine Windows live1/live2 mismatch,3,"0,1,2",2,0x000017e7;0x00001fc7,0,1,0,0
0x3d80,0x0ac74d80,,runtime_volatile_do_not_freeze,independent E003g same-machine Windows live1/live2 mismatch,3,"0,1,2",2,0x000007d5;0x00000913,0,1,0,0
0x3d84,0x0ac74d84,,runtime_volatile_do_not_freeze,independent E003g same-machine Windows live1/live2 mismatch,3,"0,1,2",2,0x0000080e;0x00000ab6,0,1,0,0
0x3d88,0x0ac74d88,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00000000,0,0,0,0
0x3d8c,0x0ac74d8c,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x08700f00,0,0,0,0
0x3db4,0x0ac74db4,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00000000,0,0,0,0
0x3db8,0x0ac74db8,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00800080,0,0,0,0
0x3dd4,0x0ac74dd4,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x1f400000,0,0,0,0
