index,address,value
0,0x0110,0x00
1,0x0112,0x0a
2,0x0113,0x0a
3,0x0114,0x00
4,0x0342,0x1a
5,0x0343,0x60
6,0x033d,0x00
7,0x033e,0x0d
8,0x033f,0xe2
9,0x0344,0x00
10,0x0345,0x68
11,0x0346,0x01
12,0x0347,0xf0
13,0x0348,0x0f
14,0x0349,0x67
15,0x034a,0x0a
16,0x034b,0x5f
17,0x017c,0x01
18,0x017d,0x01
19,0x017e,0x00
20,0x017f,0x01
21,0x0180,0x00
22,0x038c,0x13
23,0x038d,0x33
24,0x2000,0x01
25,0x0408,0x00
26,0x0409,0x00
27,0x040a,0x00
28,0x040b,0x00
29,0x040c,0x0f
30,0x040d,0x00
31,0x040e,0x08
32,0x040f,0x70
33,0x034c,0x0f
34,0x034d,0x00
35,0x034e,0x08
36,0x034f,0x70
37,0x0301,0x06
38,0x0303,0x02
39,0x0305,0x02
40,0x0306,0x00
41,0x0307,0xe1
42,0x030d,0x03
43,0x030e,0x01
44,0x030f,0x77
45,0x0323,0x00
46,0x0229,0x00
47,0x022a,0x0d
48,0x022b,0xda
49,0xd383,0x01
50,0x0204,0x00
51,0x0205,0x00
52,0x020e,0x01
53,0x020f,0x00
54,0x0210,0x01
55,0x0211,0x00
56,0x0212,0x01
57,0x0213,0x00
58,0x0214,0x01
59,0x0215,0x00
60,0x6a83,0x03
61,0x7e9b,0x02
62,0xd1ce,0x00
63,0xdc3c,0x01
64,0x0368,0x00
65,0x036a,0x08
66,0x036b,0x70
67,0x2001,0x00
