client,name,register,offset,role,live1,live2,stable
0,FULL_Y,cfg,0x0e00,writable_config,0x00000011,0x00000011,1
0,FULL_Y,image_addr,0x0e04,dynamic_buffer_address,0x1242e000,0x150b6000,0
0,FULL_Y,frame_incr,0x0e08,writable_config,0x004f2000,0x004f2000,1
0,FULL_Y,image_cfg0,0x0e0c,writable_config,0x05a00a00,0x05a00a00,1
0,FULL_Y,image_cfg1,0x0e10,writable_config,0x00000000,0x00000000,1
0,FULL_Y,image_cfg2,0x0e14,writable_config,0x00000e00,0x00000e00,1
0,FULL_Y,packer_cfg,0x0e18,writable_config,0x0000000b,0x0000000b,1
0,FULL_Y,bw_limit,0x0e1c,writable_config,0x0000000b,0x0000000b,1
0,FULL_Y,frame_header_addr,0x0e20,dynamic_buffer_address,0x00000000,0x00000000,1
0,FULL_Y,frame_header_incr,0x0e24,writable_config,0x00000000,0x00000000,1
0,FULL_Y,frame_header_cfg,0x0e28,writable_config,0x00000000,0x00000000,1
0,FULL_Y,irq_subsample_period,0x0e30,writable_config,0x00000000,0x00000000,1
0,FULL_Y,irq_subsample_pattern,0x0e34,writable_config,0x00000001,0x00000001,1
0,FULL_Y,framedrop_period,0x0e38,writable_config,0x00000000,0x00000000,1
0,FULL_Y,framedrop_pattern,0x0e3c,writable_config,0x00000001,0x00000001,1
0,FULL_Y,meta_addr,0x0e40,dynamic_buffer_address,0x12428000,0x150b0000,0
0,FULL_Y,meta_cfg,0x0e44,writable_config,0x00000400,0x00000400,1
0,FULL_Y,mode_cfg,0x0e48,writable_config,0x00000023,0x00000023,1
0,FULL_Y,stats_ctrl,0x0e4c,writable_config,0x00000000,0x00000000,1
0,FULL_Y,ctrl_2,0x0e50,writable_config,0x00000001,0x00000001,1
0,FULL_Y,lossy_thresh0,0x0e54,writable_config,0x06210022,0x06210022,1
0,FULL_Y,lossy_thresh1,0x0e58,writable_config,0x0000040a,0x0000040a,1
0,FULL_Y,lossy_var_offset,0x0e5c,writable_config,0x00000000,0x00000000,1
0,FULL_Y,mmu_prefetch_cfg,0x0e60,writable_config,0x00000000,0x00000000,1
0,FULL_Y,mmu_prefetch_max_offset,0x0e64,writable_config,0x00000000,0x00000000,1
0,FULL_Y,system_cache_cfg,0x0e68,writable_config,0x00000000,0x00000000,1
0,FULL_Y,addr_status0,0x0e70,status_readback,0x1242e000,0x150b6000,0
0,FULL_Y,addr_status1,0x0e74,status_readback,0x00000000,0x00000000,1
0,FULL_Y,addr_status2,0x0e78,status_readback,0x00000000,0x00000000,1
0,FULL_Y,addr_status3,0x0e7c,status_readback,0x1242e000,0x150b6000,0
0,FULL_Y,debug_status_cfg,0x0e80,writable_debug_config,0x00000000,0x00000000,1
0,FULL_Y,debug_status0,0x0e84,status_readback,0x00000000,0x00000000,1
0,FULL_Y,debug_status1,0x0e88,status_readback,0x00000000,0x00000000,1
1,FULL_C,cfg,0x0f00,writable_config,0x00000011,0x00000011,1
1,FULL_C,image_addr,0x0f04,dynamic_buffer_address,0x1291d000,0x155a5000,0
1,FULL_C,frame_incr,0x0f08,writable_config,0x00279000,0x00279000,1
1,FULL_C,image_cfg0,0x0f0c,writable_config,0x02d00a00,0x02d00a00,1
1,FULL_C,image_cfg1,0x0f10,writable_config,0x00000000,0x00000000,1
1,FULL_C,image_cfg2,0x0f14,writable_config,0x00000e00,0x00000e00,1
1,FULL_C,packer_cfg,0x0f18,writable_config,0x0000000b,0x0000000b,1
1,FULL_C,bw_limit,0x0f1c,writable_config,0x0000000b,0x0000000b,1
1,FULL_C,frame_header_addr,0x0f20,dynamic_buffer_address,0x00000000,0x00000000,1
1,FULL_C,frame_header_incr,0x0f24,writable_config,0x00000000,0x00000000,1
1,FULL_C,frame_header_cfg,0x0f28,writable_config,0x00000000,0x00000000,1
1,FULL_C,irq_subsample_period,0x0f30,writable_config,0x00000000,0x00000000,1
1,FULL_C,irq_subsample_pattern,0x0f34,writable_config,0x00000001,0x00000001,1
1,FULL_C,framedrop_period,0x0f38,writable_config,0x00000000,0x00000000,1
1,FULL_C,framedrop_pattern,0x0f3c,writable_config,0x00000001,0x00000001,1
1,FULL_C,meta_addr,0x0f40,dynamic_buffer_address,0x1291a000,0x155a2000,0
1,FULL_C,meta_cfg,0x0f44,writable_config,0x00000400,0x00000400,1
1,FULL_C,mode_cfg,0x0f48,writable_config,0x00000033,0x00000033,1
1,FULL_C,stats_ctrl,0x0f4c,writable_config,0x00000000,0x00000000,1
1,FULL_C,ctrl_2,0x0f50,writable_config,0x00000001,0x00000001,1
1,FULL_C,lossy_thresh0,0x0f54,writable_config,0x06210022,0x06210022,1
1,FULL_C,lossy_thresh1,0x0f58,writable_config,0x0000040a,0x0000040a,1
1,FULL_C,lossy_var_offset,0x0f5c,writable_config,0x00000000,0x00000000,1
1,FULL_C,mmu_prefetch_cfg,0x0f60,writable_config,0x00000000,0x00000000,1
1,FULL_C,mmu_prefetch_max_offset,0x0f64,writable_config,0x00000000,0x00000000,1
1,FULL_C,system_cache_cfg,0x0f68,writable_config,0x00000000,0x00000000,1
1,FULL_C,addr_status0,0x0f70,status_readback,0x1291d000,0x155a5000,0
1,FULL_C,addr_status1,0x0f74,status_readback,0x00000000,0x00000000,1
1,FULL_C,addr_status2,0x0f78,status_readback,0x00000000,0x00000000,1
1,FULL_C,addr_status3,0x0f7c,status_readback,0x1291d000,0x155a5000,0
1,FULL_C,debug_status_cfg,0x0f80,writable_debug_config,0x00000000,0x00000000,1
1,FULL_C,debug_status0,0x0f84,status_readback,0x00000000,0x00000000,1
1,FULL_C,debug_status1,0x0f88,status_readback,0x00000000,0x00000000,1
2,DS4,cfg,0x1000,writable_config,0x00000011,0x00000011,1
2,DS4,image_addr,0x1004,dynamic_buffer_address,0x159a8000,0x15cc0000,0
2,DS4,frame_incr,0x1008,writable_config,0x00084000,0x00084000,1
2,DS4,image_cfg0,0x100c,writable_config,0x00b40140,0x00b40140,1
2,DS4,image_cfg1,0x1010,writable_config,0x00000000,0x00000000,1
2,DS4,image_cfg2,0x1014,writable_config,0x00000b00,0x00000b00,1
2,DS4,packer_cfg,0x1018,writable_config,0x0000000a,0x0000000a,1
2,DS4,bw_limit,0x101c,writable_config,0x00000000,0x00000000,1
2,DS4,frame_header_addr,0x1020,dynamic_buffer_address,0x00000000,0x00000000,1
