E004az CSID-Lite / Linux csid-680 parity map

Trustlet absolute CSID-relative   Linux csid-680 symbol
0x7c                              CSID_TOP_IRQ_STATUS
0x84                              CSID_TOP_IRQ_CLEAR
0x8c                              CSID_BUF_DONE_IRQ_STATUS
0x94                              CSID_BUF_DONE_IRQ_CLEAR
0x9c                              CSID_CSI2_RX_IRQ_STATUS
0xa4                              CSID_CSI2_RX_IRQ_CLEAR
0xec + n*0x10                     CSID_CSI2_RDI_IRQ_STATUS(n)
0xf4 + n*0x10                     CSID_CSI2_RDI_IRQ_CLEAR(n)
0x200                             CSID_CSI2_RX_CFG0
0x204                             CSID_CSI2_RX_CFG1
0x500 + n*0x100                   CSID_RDI_CFG0(n)
0x504 + n*0x100                   CSID_RDI_CTRL(n)
0x510 + n*0x100                   CSID_RDI_CFG1(n)
0x52c + n*0x100                   CSID_RDI_EPOCH_IRQ_CFG(n)
0x540 + n*0x100                   CSID_RDI_FRM_DROP_PATTERN(n)
0x544 + n*0x100                   CSID_RDI_FRM_DROP_PERIOD(n)
0x548 + n*0x100                   CSID_RDI_IRQ_SUBSAMPLE_PATTERN(n)
0x54c + n*0x100                   CSID_RDI_IRQ_SUBSAMPLE_PERIOD(n)
0x558 + n*0x100                   CSID_RDI_PIX_DROP_PATTERN(n)
0x55c + n*0x100                   CSID_RDI_PIX_DROP_PERIOD(n)
0x560 + n*0x100                   CSID_RDI_LINE_DROP_PATTERN(n)
0x564 + n*0x100                   CSID_RDI_LINE_DROP_PERIOD(n)
