E004bs exact QcTrEE service GUID references in SecureISP package

=== KMD qccamsecureisp8380.sys ===
PassThrough  AE865C08-4A07-404D-BE51-D9A0465E23E5 count=1 offsets=0x10030
TPM          36DEAA79-C5DD-447C-95E6-B3859589291A count=0 offsets=-
EFIVar       699AA2F1-A42E-40DF-BABE-3AAAD2BB6A47 count=0 offsets=-
WinSecApp    16A1AB50-7413-4875-893D-2E5AA0B79888 count=0 offsets=-
InlineCrypto C28F7046-F72E-4F23-B061-E50421C5404C count=0 offsets=-
MemSharing   EB3C7242-1B1A-4D51-AB55-F268F018F860 count=0 offsets=-
MfgMode      59EB09D9-537E-4961-A905-444449D9FE61 count=0 offsets=-
Mssec        1F75CF6D-F709-4C0C-8BCB-0CDCA1289DDD count=0 offsets=-
Invoke       03B82FC5-2052-44D6-9462-F22C72499337 count=0 offsets=-
SSGListener  DA4B2995-8A01-4440-8B45-E1C026B16695 count=0 offsets=-

=== Trustlet QcISPTrustlet8380.dll ===
PassThrough  AE865C08-4A07-404D-BE51-D9A0465E23E5 count=0 offsets=-
TPM          36DEAA79-C5DD-447C-95E6-B3859589291A count=0 offsets=-
EFIVar       699AA2F1-A42E-40DF-BABE-3AAAD2BB6A47 count=0 offsets=-
WinSecApp    16A1AB50-7413-4875-893D-2E5AA0B79888 count=0 offsets=-
InlineCrypto C28F7046-F72E-4F23-B061-E50421C5404C count=0 offsets=-
MemSharing   EB3C7242-1B1A-4D51-AB55-F268F018F860 count=0 offsets=-
MfgMode      59EB09D9-537E-4961-A905-444449D9FE61 count=0 offsets=-
Mssec        1F75CF6D-F709-4C0C-8BCB-0CDCA1289DDD count=0 offsets=-
Invoke       03B82FC5-2052-44D6-9462-F22C72499337 count=0 offsets=-
SSGListener  DA4B2995-8A01-4440-8B45-E1C026B16695 count=0 offsets=-
