140030990 u32=0x02000c1d unsigned=33557533
140030994 u32=0xc000000d unsigned=3221225485
140030998 u32=0xc000000d unsigned=3221225485
140030c60 u32=0xc000000d unsigned=3221225485
140030c64 u32=0xc000000d unsigned=3221225485
140030c68 u32=0x02000c1e unsigned=33557534
140036340 u32=0xa94153f3 unsigned=2839630835
140036344 u32=0xa8c37bfd unsigned=2831383549
140036348 u32=0xd50323ff unsigned=3573752831
14003634c u32=0xd65f03c0 unsigned=3596551104
140036350 u32=0x32000602 unsigned=838862338
140036354 u32=0x32000600 unsigned=838862336
140036358 u32=0xc0000464 unsigned=3221226596
