INIT=0x00000000
a0b0f0 ret=0x00000000 center7=80 80 80 80 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 a0 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 80 80 80 80
a0b0f253 ret=0x00000000 center7=80 80 80 80 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 a0 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 80 80 80 80
a1b0f253 ret=0x00000000 center7=80 80 80 80 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 a0 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 80 80 80 80
a24b0f253 ret=0x00000000 center7=80 80 7f 7f 7f 80 80 | 80 7e 7e 7f 7e 7e 80 | 7f 7e 82 85 82 7e 7f | 7f 7f 85 a0 85 7f 7f | 7f 7e 82 85 82 7e 7f | 80 7e 7e 7f 7e 7e 80 | 80 80 7f 7f 7f 80 80
a255b0f253 ret=0x00000000 center7=80 7e 7d 7c 7d 7e 80 | 7e 71 71 76 71 71 7e | 7d 71 8f 8f 8f 71 7d | 7c 76 8f a0 8f 76 7c | 7d 71 8f 8f 8f 71 7d | 7e 71 71 76 71 71 7e | 80 7e 7d 7c 7d 7e 80
a0b1f253 ret=0x00000000 center7=80 80 80 80 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 a0 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 80 80 80 80
a0b128f253 ret=0x00000000 center7=80 80 80 80 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 a0 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 80 80 80 80
a0b255f253 ret=0x00000000 center7=80 80 80 80 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 a0 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 80 80 80 80
a24b128f253 ret=0x00000000 center7=80 80 7f 7f 7f 80 80 | 80 7f 7f 7f 7f 7f 80 | 7f 7f 81 82 81 7f 7f | 7f 7f 82 a0 82 7f 7f | 7f 7f 81 82 81 7f 7f | 80 7f 7f 7f 7f 7f 80 | 80 80 7f 7f 7f 80 80
a24b255f253 ret=0x00000000 center7=80 80 80 80 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 a0 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 80 80 80 80 | 80 80 80 80 80 80 80
a24b128f0 ret=0x00000000 center7=80 80 7f 7f 7f 80 80 | 80 7f 7f 7f 7f 7f 80 | 7f 7f 81 82 81 7f 7f | 7f 7f 82 a0 82 7f 7f | 7f 7f 81 82 81 7f 7f | 80 7f 7f 7f 7f 7f 80 | 80 80 7f 7f 7f 80 80
a24b128f255 ret=0x00000000 center7=80 80 7f 7f 7f 80 80 | 80 7f 7f 7f 7f 7f 80 | 7f 7f 81 82 81 7f 7f | 7f 7f 82 a0 82 7f 7f | 7f 7f 81 82 81 7f 7f | 80 7f 7f 7f 7f 7f 80 | 80 80 7f 7f 7f 80 80
