E004EL_CAUSAL_PLATEAU=PASS
candidate_boot_id=ce0c0fcf-1a43-4ea8-8cc3-af61a46aeee2
golden_return_boot_id=2c9c5919-4d95-48fe-830f-23bce4abf45b
frames=27 sequences=0..26 retry=NO synthetic_delta=NO
control_ioctls=4 startup_fill_writes=1 later_native_writes=0
g4_allow_conv=6590353719 g4_cap=6133333088
g4_request=7 effect_generation=7
g4_physical_tuple=FLL7116/VB4956/EXP7108/AGAIN960/DGAIN1471/ISP0x3f801646
G4..G27_proposed_tuple_identical_to_physical_plateau=YES
G5plus_shadow_causes_no_control_history_mismatch=YES
G7..G24_causal_pre_cap_count=18
G7..G24_causal_pre_cap_min=17312541790
G7..G24_causal_pre_cap_max=17737397996
G7..G24_causal_pre_cap_mean=17615840003.944
preview_cap=6133333088
G7..G24_all_cap_active=YES
apply_one_native_sources=NONE
kernel_health=PASS all_three_suspended_before_after=YES final_route=neutral

CONTROL_ROWS:
G=1 REQUEST=4 FLL=3562 VB=1402 EXP=3554 AGAIN=785 DGAIN=256 ISP=0x3f806bb2
G=2 REQUEST=5 FLL=3562 VB=1402 EXP=3554 AGAIN=960 DGAIN=274 ISP=0x3f804a13
G=3 REQUEST=6 FLL=3562 VB=1402 EXP=3554 AGAIN=960 DGAIN=783 ISP=0x3f801bd2
G=4 REQUEST=7 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=5 REQUEST=8 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=6 REQUEST=9 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=7 REQUEST=10 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=8 REQUEST=11 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=9 REQUEST=12 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=10 REQUEST=13 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=11 REQUEST=14 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=12 REQUEST=15 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=13 REQUEST=16 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=14 REQUEST=17 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=15 REQUEST=18 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=16 REQUEST=19 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=17 REQUEST=20 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=18 REQUEST=21 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=19 REQUEST=22 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=20 REQUEST=23 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=21 REQUEST=24 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=22 REQUEST=25 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=23 REQUEST=26 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=24 REQUEST=27 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=25 REQUEST=28 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=26 REQUEST=29 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
G=27 REQUEST=30 FLL=7116 VB=4956 EXP=7108 AGAIN=960 DGAIN=1471 ISP=0x3f801646
